,Year,Month,End user total products demand ,LPG,Direct crude burn,Biofuels,Net_products_input,Net_storage_draw,refinery_gains,total_us_refinery_net_input,Net_storage_draw_diff,net_input_refinery_predicted_using_equation
0,2013,January,18730.81,2740.491,0,332.1454,-639.0,1045099.0,-7.0,14567.0,0.0,15146.048411214953
1,2013,February,18649.41,2783.644,0,319.878,-1154.0,1052768.0,-6.5,14230.0,260.73333333333335,15119.827981220658
2,2013,March,18544.03,2507.532,0,328.3321,-967.0,1060590.0,-6.6,14704.0,97.8,15206.071575984988
3,2013,April,18592.96,2292.426,0,351.8791,-689.0,1063524.0,-7.0,14864.0,-141.7,15201.345887850466
4,2013,May,18733.74,2035.178,0,424.1249,-908.0,1059273.0,-6.4,15304.0,-483.23333333333335,15223.909179197995
5,2013,June,18818.11,2058.732,0,440.8074,-1319.0,1044776.0,-6.5,15834.0,-313.8666666666667,15414.507355242567
6,2013,July,19263.04,2282.181,0,449.8308,-1505.0,1035360.0,-6.7,16043.0,-75.46666666666667,15850.044736019994
7,2013,August,19143.15,2198.263,0,425.4307,-1504.0,1033096.0,-6.7,15794.0,229.63333333333333,15894.197656982193
8,2013,September,19284.94,2307.213,0,496.6798,-1413.0,1039985.0,-6.9,15636.0,286.03333333333336,15848.91468662301
9,2013,October,19324.84,2618.989,0,378.8994,-1825.0,1048566.0,-6.9,14992.0,-280.8333333333333,15500.389211100719
10,2013,November,19498.57,2686.474,0,412.1035,-1737.0,1040141.0,-7.0,15633.0,-566.0333333333333,15300.237352024922
11,2013,December,19005.32,2844.943,0,357.9247,-2613.0,1023160.0,-7.1,16069.0,301.56666666666666,15286.125957049488
12,2014,January,19101.67,2935.609,0,322.2981,-1947.0,1032207.0,-7.1,15310.0,301.2,15341.629038281979
13,2014,February,18903.72,2598.574,0,310.8945,-1455.0,1041243.0,-6.9,15128.0,322.43333333333334,15448.050795135645
14,2014,March,18451.15,2392.662,0,274.4686,-1759.0,1050916.0,-6.3,15117.0,257.93333333333334,15298.73170272813
15,2014,April,18833.63,2183.801,0,329.4848,-1647.0,1058654.0,-6.6,15864.0,-74.06666666666666,15650.1292057536
16,2014,May,18601.18,1958.944,0,336.5862,-1584.0,1056432.0,-6.1,15945.0,-371.8333333333333,15386.998366321079
17,2014,June,18878.6,2085.053,0,339.0419,-1991.0,1045277.0,-6.7,15818.0,-518.9333333333333,15325.756669790691
18,2014,July,19247.88,2107.142,0,357.6288,-2178.0,1029709.0,-6.4,16535.0,-255.36666666666667,15929.671929824564
19,2014,August,19372.95,2314.224,0,346.93,-2220.0,1022048.0,-6.8,16459.0,35.86666666666667,16081.124344569289
20,2014,September,19204.91,2297.262,0,390.4057,-1912.0,1023124.0,-6.1,16074.0,651.9666666666667,16000.654759660698
21,2014,October,19701.59,2419.267,0,349.6468,-1982.0,1042683.0,-6.6,15362.0,166.96666666666667,16338.207879924954
22,2014,November,19394.22,2697.245,0,336.312,-2118.0,1047692.0,-7.0,16044.0,137.73333333333332,15794.497196261682
23,2014,December,19493.89,2704.145,0,302.4228,-2294.0,1051824.0,-6.3,16470.0,944.8333333333334,16018.956914393228
24,2015,January,19272.64,2869.04,0,321.253,-1791.0,1080169.0,-6.8,15455.0,869.9,15595.650749063669
25,2015,February,19673.6,2818.955,0,314.0714,-2026.0,1106266.0,-6.5,15342.0,929.4666666666667,16060.436244131453
26,2015,March,19348.65,2415.932,0,355.9192,-1627.0,1134150.0,-6.3,15640.0,317.0,16048.904233301979
